id,timestamp,user_id,username,source,query,response,from_cache,response_time_ms,created_at
1,2026-09-10T12:03:27.806503,123456789,user_***,telegram,Привет,"По этому запросу я не могу дать точный ответ из наших типовых условий — ниже краткий общий ориентир; для деталей лучше напишите менеджеру или посмотрите сайт.

Привет! Как я могу помочь тебе сегодня? 😊",0,90970,2026-09-10 09:03:27
2,2026-09-10T12:09:51.707440,123456789,user_***,telegram,Привет,"Здравствуйте! Я консультант магазина. Спросите про доставку, оплату, бутик или товары — отвечу по нашим материалам. Можно текстом, голосом или фото.",0,278,2026-09-10 09:09:51
3,2026-09-10T12:13:51.724831,123456789,user_***,telegram,Сколько стоит свеча Бергамот?,"По этому запросу я не могу дать точный ответ из наших типовых условий — ниже краткий общий ориентир; для деталей лучше напишите менеджеру или посмотрите сайт.

Привет! К сожалению, я не могу предоставить точную информацию о цене свечи Бергамот. Рекомендую заглянуть на наш сайт или написать в магазин, чтобы получить актуальные данные. Если есть другие вопросы, с радостью помогу! 🕯️✨",0,168398,2026-09-10 09:13:51
4,2026-09-10T12:36:05.978216,123456789,user_***,telegram,Сколько стоит свеча бергамот?,"Здравствуйте! Свеча с ароматом бергамота называется Bergamote-Mousse. У нас есть несколько вариантов:

220 г — 7500 руб.
1100 г — 22500 руб.
350 г — 9450 руб.

Если вам нужна дополнительная информация или помощь с заказом, дайте знать! 😊🕯️

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,12626,2026-09-10 09:36:05
5,2026-09-10T12:38:41.072428,123456789,user_***,telegram,Интересует доставка по Москве.,"Здравствуйте! Мы рады сообщить, что у нас есть несколько вариантов доставки по Москве:

1. Доставка по клику: вы можете оформить заказ и вызвать курьера, когда вам будет удобно. Мы доставим ваши покупки через 30–60 минут. Просто выберите «доставку по клику» при оформлении заказа.

2. Экспресс-доставка: вы можете получить свой заказ в течение 2 часов. Стоимость составляет 399 рублей при заказе до 1 499 рублей и 249 рублей при заказе от 1 500 рублей.

3. Быстрая доставка из магазина: доступна на с…",0,8103,2026-09-10 09:38:41
6,2026-09-10T12:39:13.621345,123456789,user_***,telegram,Отлично,"Отлично! Если вас интересует доставка по Москве, мы можем предложить несколько удобных вариантов. Вы можете выбрать доставку по клику, экспресс-доставку или самовывоз из нашего магазина. 

Если у вас есть еще вопросы или нужна помощь с оформлением заказа, не стесняйтесь обращаться! 😊📦

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,10928,2026-09-10 09:39:13
7,2026-09-10T12:39:42.226355,123456789,user_***,telegram,Какие ароматы свечей у вас есть?,"Здравствуйте! У нас есть разнообразные ароматы свечей, которые могут вас заинтересовать:

1. Mimosa-Lila — Мимоза и Лилия
2. Muscade-Sauge — Мускат и Шалфей
3. Bergamote-Mousse — Бергамот и Мох
4. Vanille-Vetiver — Ваниль и Ветивер
5. Vermouth-Cacao — Вермут и Какао
6. Figue-Eglantier — Инжир и Шиповник
7. Bois de Cashemire — Древесина Кашемира
8. Cassis-Oud — Черная смородина и Уд
9. Kir d'Abricot — Абрикос
10. Pivoine — Пион
11. Santal-Cardamome — Сандал и Кардамон
12. Whisky-Palo Santo — Виск…",0,11804,2026-09-10 09:39:42
8,2026-09-10T12:40:24.069526,123456789,user_***,telegram,Кир-абрикос,"Здравствуйте! Свеча с ароматом Кир-абрикос (Kir d'Abricot) доступна в нашем ассортименте. Она весит 220 г и стоит 7500 рублей. 

Если вам нужна дополнительная информация или помощь с заказом, дайте знать! 😊🕯️

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,13171,2026-09-10 09:40:24
9,2026-09-10T12:40:56.296798,123456789,user_***,telegram,Чем вы занимаетесь?,"Здравствуйте! Мы занимаемся продажей ароматических свечей, предлагая широкий ассортимент уникальных ароматов. В нашем каталоге вы найдете свечи с различными композициями, такими как:

Мимоза и Лилия
Мускат и Шалфей
Бергамот и Мох
Ваниль и Ветивер
Вермут и Какао
Инжир и Шиповник

Каждая свеча изготовлена из кокосового воска и обладает своим неповторимым ароматом, который создаст уютную атмосферу в вашем доме. Если у вас есть дополнительные вопросы или вы хотите узнать больше о конкретных ароматах…",0,11693,2026-09-10 09:40:56
10,2026-09-10T12:41:43.512661,123456789,user_***,telegram,На что влияет аромат?,"Здравствуйте! Ароматы свечей могут оказывать значительное влияние на атмосферу в вашем доме и ваше общее самочувствие. Они способны:

1. Создавать настроение: Разные ароматы могут вызывать различные эмоции. Например, цветочные ноты, такие как мимоза и лилия, могут создать ощущение весны и свежести, а пряные ароматы, как мускат и шалфей, дарят чувство уюта и спокойствия.

2. Стимулировать воспоминания: Ароматы могут напоминать о приятных моментах и вызывать воспоминания. Например, свеча с аромато…",0,11854,2026-09-10 09:41:43
